Joke,Rating,Ratings_Cleaned
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
"Mrs. Schmidlap hires a maid with beautiful blonde hair. The first morning, the girl pulls off the hair and says, ""I wear a wig, because I was born totally hairless. Not a hair on my body, not even down there."" 

That night, Mrs. Schmidlap tells her husband. He says, ""I've never seen anything like that. Please tomorrow, ask her to go into the bedroom and show you. I want to hide in the closet so I can have a look."" 

The next day, Mrs. Schmidlap asks the girl, the two of them go into the bedroom, and the girl strips and shows her. Then the girl says, ""I've never seen one with hair on it. Can I see yours?"" 

So Mrs. Schmidlap pulls off her clothes and shows her. That night, Mrs. Schmidlap says to her husband, ""I hope you're satisfied, because I was pretty embarrassed when that girl asked to see mine."" 

Her husband says, ""You think you were embarrassed...I had the four guys I play poker with in the closet with me.""","Ranking: 
3.73 / 369",3.73
"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. 
Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 
'There are three colors', he replies, 'Gold, Silver and Bronze.' 'What color are you going to wear tonight? she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'really, why don't you wear Silver: it would be nice if you came second for a change!","Ranking: 
3.66 / 269",3.66
"One morning while his wife was making breakfast, a man walked up to her and gave her a healthy pinch on her butt.
 He said to her,  If you firmed up your butt we could get rid of your girdle.
 The wife was angry but said nothing.  The next morning her husband pinched her breast and said, If you firmed these up we could get rid of your bra.
The wife grabbed her husbands penis and replied, and if you firmed this up we could get rid of the mailman, the gardener, the pool man, and your bother!","Ranking: 
4.16 / 468",4.16
"A man and his wife go to their honeymoon hotel for their 25th anniversary. As the couple reflected on that magical evening 25 years ago, the wife asked the husband, ""When you first saw my naked body in front of you, what was going through your mind?""

The husband replied, ""All I wanted to do was to fuck your brains out, and suck your tits dry.""

Then, as the wife undressed, she asked, ""What are you thinking now?""

He replied, ""It looks as if I did a pretty good job.""","Ranking: 
4.00 / 446",4.00
